Date	Time	CongHt
10/6/15	1:00	19.79
10/6/15	1:15	19.77
10/6/15	1:30	19.77
10/6/15	1:45	19.76
10/6/15	2:00	19.77
10/6/15	2:15	19.77
10/6/15	2:30	19.76
10/6/15	2:45	19.75
10/6/15	3:00	19.75
10/6/15	3:15	19.74
10/6/15	3:30	19.74
10/6/15	3:45	19.72
10/6/15	4:00	19.71
10/6/15	4:15	19.71
10/6/15	4:30	19.7
10/6/15	4:45	19.69
10/6/15	5:00	19.68
10/6/15	5:15	19.68
10/6/15	5:30	19.67
10/6/15	5:45	19.66
10/6/15	6:00	19.65
10/6/15	6:15	19.64
10/6/15	6:30	19.64
10/6/15	6:45	19.61
10/6/15	7:00	19.61
10/6/15	7:15	19.6
10/6/15	7:30	19.57
10/6/15	7:45	19.57
10/6/15	8:00	19.58
10/6/15	8:15	19.55
10/6/15	8:30	19.54
10/6/15	8:45	19.53
10/6/15	9:00	19.5
10/6/15	9:15	19.49
10/6/15	9:30	19.49
10/6/15	9:45	19.47
10/6/15	10:00	19.46
10/6/15	10:15	19.45
10/6/15	10:30	19.43
10/6/15	10:45	19.42
10/6/15	11:00	19.42
10/6/15	11:15	19.4
10/6/15	11:30	19.37
10/6/15	11:45	19.38
10/6/15	12:00	19.36
10/6/15	12:15	19.35
10/6/15	12:30	19.32
10/6/15	12:45	19.31
10/6/15	13:00	19.3
10/6/15	13:15	19.27
10/6/15	13:30	19.27
10/6/15	13:45	19.25
10/6/15	14:00	19.23
10/6/15	14:15	19.23
10/6/15	14:30	19.22
10/6/15	14:45	19.18
10/6/15	15:00	19.17
10/6/15	15:15	19.15
10/6/15	15:30	19.15
10/6/15	15:45	19.14
10/6/15	16:00	19.11
10/6/15	16:15	19.11
10/6/15	16:30	19.09
10/6/15	16:45	19.07
10/6/15	17:00	19.04
10/6/15	17:15	19.03
10/6/15	17:30	19.02
10/6/15	17:45	19
10/6/15	18:00	18.98
10/6/15	18:15	18.96
10/6/15	18:30	18.96
10/6/15	18:45	18.94
10/6/15	19:00	18.92
10/6/15	19:15	18.89
10/6/15	19:30	18.89
10/6/15	19:45	18.87
10/6/15	20:00	18.85
10/6/15	20:15	18.84
10/6/15	20:30	18.82
10/6/15	20:45	18.81
10/6/15	21:00	18.79
10/6/15	21:15	18.77
10/6/15	21:30	18.76
10/6/15	21:45	18.72
10/6/15	22:00	18.74
10/6/15	22:15	18.69
10/6/15	22:30	18.68
10/6/15	22:45	18.66
10/6/15	23:00	18.64
10/6/15	23:15	18.62
10/6/15	23:30	18.6
10/6/15	23:45	18.59
10/7/15	0:00	18.56
10/7/15	0:15	18.55
10/7/15	0:30	18.53
10/7/15	0:45	18.5
10/7/15	1:00	18.48
10/7/15	1:15	18.46
10/7/15	1:30	18.44
10/7/15	1:45	18.42
10/7/15	2:00	18.4
10/7/15	2:15	18.38
10/7/15	2:30	18.37
10/7/15	2:45	18.34
10/7/15	3:00	18.32
10/7/15	3:15	18.3
10/7/15	3:30	18.29
10/7/15	3:45	18.26
10/7/15	4:00	18.25
10/7/15	4:15	18.23
10/7/15	4:30	18.21
10/7/15	4:45	18.19
10/7/15	5:00	18.17
10/7/15	5:15	18.15
10/7/15	5:30	18.13
10/7/15	5:45	18.12
10/7/15	6:00	18.09
10/7/15	6:15	18.07
10/7/15	6:30	18.06
10/7/15	6:45	18.04
10/7/15	7:00	18.03
10/7/15	7:15	18.01
10/7/15	7:30	18
10/7/15	7:45	17.98
10/7/15	8:00	17.96
10/7/15	8:15	17.94
10/7/15	8:30	17.93
10/7/15	8:45	17.91
10/7/15	9:00	17.9
10/7/15	9:15	17.89
10/7/15	9:30	17.89
10/7/15	9:45	17.88
10/7/15	10:00	17.85
10/7/15	10:15	17.85
10/7/15	10:30	17.85
10/7/15	10:45	17.82
10/7/15	11:00	17.82
10/7/15	11:15	17.81
10/7/15	11:30	17.79
10/7/15	11:45	17.78
10/7/15	12:00	17.78
10/7/15	12:15	17.76
10/7/15	12:30	17.77
10/7/15	12:45	17.74
10/7/15	13:00	17.74
10/7/15	13:15	17.74
10/7/15	13:30	17.71
10/7/15	13:45	17.72
10/7/15	14:00	17.71
10/7/15	14:15	17.71
10/7/15	14:30	17.69
10/7/15	14:45	17.69
10/7/15	15:00	17.68
10/7/15	15:15	17.68
10/7/15	15:30	17.66
10/7/15	15:45	17.65
10/7/15	16:00	17.66
10/7/15	16:15	17.65
10/7/15	16:30	17.65
10/7/15	16:45	17.63
10/7/15	17:00	17.63
10/7/15	17:15	17.63
10/7/15	17:30	17.61
10/7/15	17:45	17.6
10/7/15	18:00	17.59
10/7/15	18:15	17.59
10/7/15	18:30	17.59
10/7/15	18:45	17.58
10/7/15	19:00	17.58
10/7/15	19:15	17.57
10/7/15	19:30	17.57
10/7/15	19:45	17.57
10/7/15	20:00	17.56
10/7/15	20:15	17.56
10/7/15	20:30	17.55
10/7/15	20:45	17.54
10/7/15	21:00	17.55
10/7/15	21:15	17.54
10/7/15	21:30	17.53
10/7/15	21:45	17.52
10/7/15	22:00	17.52
10/7/15	22:15	17.51
10/7/15	22:30	17.51
10/7/15	22:45	17.49
10/7/15	23:00	17.51
10/7/15	23:15	17.5
10/7/15	23:30	17.49
10/7/15	23:45	17.48
10/8/15	0:00	17.49
10/8/15	0:15	17.48
10/8/15	0:30	17.47
10/8/15	0:45	17.47
10/8/15	1:00	17.45
10/8/15	1:15	17.46
10/8/15	1:30	17.45
10/8/15	1:45	17.44
10/8/15	2:00	17.44
10/8/15	2:15	17.44
10/8/15	2:30	17.44
10/8/15	2:45	17.44
10/8/15	3:00	17.42
10/8/15	3:15	17.43
10/8/15	3:30	17.41
10/8/15	3:45	17.42
10/8/15	4:00	17.42
10/8/15	4:15	17.41
10/8/15	4:30	17.4
10/8/15	4:45	17.41
10/8/15	5:00	17.4
10/8/15	5:15	17.4
10/8/15	5:30	17.39
10/8/15	5:45	17.38
10/8/15	6:00	17.37
10/8/15	6:15	17.37
10/8/15	6:30	17.35
10/8/15	6:45	17.36
10/8/15	7:00	17.36
10/8/15	7:15	17.35
10/8/15	7:30	17.34
10/8/15	7:45	17.34
10/8/15	8:00	17.33
10/8/15	8:15	17.33
10/8/15	8:30	17.32
10/8/15	8:45	17.32
10/8/15	9:00	17.3
10/8/15	9:15	17.32
10/8/15	9:30	17.3
10/8/15	9:45	17.29
10/8/15	10:00	17.28
10/8/15	10:15	17.29
10/8/15	10:30	17.28
10/8/15	10:45	17.29
10/8/15	11:00	17.26
10/8/15	11:15	17.26
10/8/15	11:30	17.25
10/8/15	11:45	17.23
10/8/15	12:00	17.23
10/8/15	12:15	17.23
10/8/15	12:30	17.22
10/8/15	12:45	17.22
10/8/15	13:00	17.21
10/8/15	13:15	17.2
10/8/15	13:30	17.2
10/8/15	13:45	17.19
10/8/15	14:00	17.18
10/8/15	14:15	17.18
10/8/15	14:30	17.16
10/8/15	14:45	17.16
10/8/15	15:00	17.14
10/8/15	15:15	17.14
10/8/15	15:30	17.13
10/8/15	15:45	17.13
10/8/15	16:00	17.12
10/8/15	16:15	17.11
10/8/15	16:30	17.09
10/8/15	16:45	17.09
10/8/15	17:00	17.08
10/8/15	17:15	17.07
10/8/15	17:30	17.07
10/8/15	17:45	17.06
10/8/15	18:00	17.04
10/8/15	18:15	17.03
10/8/15	18:30	17.02
10/8/15	18:45	17
10/8/15	19:00	17
10/8/15	19:15	16.99
10/8/15	19:30	16.98
10/8/15	19:45	16.96
10/8/15	20:00	16.96
10/8/15	20:15	16.95
10/8/15	20:30	16.93
10/8/15	20:45	16.92
10/8/15	21:00	16.93
10/8/15	21:15	16.89
10/8/15	21:30	16.88
10/8/15	21:45	16.88
10/8/15	22:00	16.86
10/8/15	22:15	16.85
10/8/15	22:30	16.84
10/8/15	22:45	16.83
10/8/15	23:00	16.82
10/8/15	23:15	16.8
10/8/15	23:30	16.79
10/8/15	23:45	16.78
10/9/15	0:00	16.76
10/9/15	0:15	16.75
10/9/15	0:30	16.74
10/9/15	0:45	16.73
10/9/15	1:00	16.71
10/9/15	1:15	16.69
10/9/15	1:30	16.67
10/9/15	1:45	16.67
10/9/15	2:00	16.65
10/9/15	2:15	16.65
10/9/15	2:30	16.62
10/9/15	2:45	16.62
10/9/15	3:00	16.6
10/9/15	3:15	16.6
10/9/15	3:30	16.58
10/9/15	3:45	16.57
10/9/15	4:00	16.55
10/9/15	4:15	16.54
10/9/15	4:30	16.53
10/9/15	4:45	16.51
10/9/15	5:00	16.49
10/9/15	5:15	16.48
10/9/15	5:30	16.47
10/9/15	5:45	16.46
10/9/15	6:00	16.45
10/9/15	6:15	16.43
10/9/15	6:30	16.41
10/9/15	6:45	16.4
10/9/15	7:00	16.39
10/9/15	7:15	16.38
10/9/15	7:30	16.36
10/9/15	7:45	16.34
10/9/15	8:00	16.33
10/9/15	8:15	16.32
10/9/15	8:30	16.31
10/9/15	8:45	16.3
10/9/15	9:00	16.28
10/9/15	9:15	16.27
10/9/15	9:30	16.25
10/9/15	9:45	16.24
10/9/15	10:00	16.24
10/9/15	10:15	16.22
10/9/15	10:30	16.21
10/9/15	10:45	16.19
10/9/15	11:00	16.18
10/9/15	11:15	16.17
10/9/15	11:30	16.17
10/9/15	11:45	16.14
10/9/15	12:00	16.12
10/9/15	12:15	16.12
10/9/15	12:30	16.11
10/9/15	12:45	16.1
10/9/15	13:00	16.08
10/9/15	13:15	16.07
10/9/15	13:30	16.04
10/9/15	13:45	16.04
10/9/15	14:00	16.04
10/9/15	14:15	16.02
10/9/15	14:30	16
10/9/15	14:45	15.99
10/9/15	15:00	15.98
10/9/15	15:15	15.97
10/9/15	15:30	15.95
10/9/15	15:45	15.94
